concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российский рубль;20;38;0.8500
банковский сектор;строительство;20;35;0.8000
банковский сектор;российская сторона;20;38;0.8000
банковский сектор;российский газ;20;38;0.8000
банковский сектор;российское правительство;20;51;1.0000
банковский сектор;российская компания;20;46;0.8500
банковский сектор;российский рынок;20;37;0.8000
банковский сектор;российский бюджет;20;39;0.8000
банковский сектор;украинское правительство;20;45;0.8500
банковский сектор;аналитическое управление;20;43;0.9500
банковский сектор;собственное средство;20;43;0.9000
банковский сектор;правительство РФ;20;41;0.8500
банковский сектор;национальная экономика;20;31;0.8000
банковский сектор;дополнительное средство;20;42;0.8000
банковский сектор;российский банк;20;41;0.9500
банковский сектор;российский производитель;20;48;0.9500
банковский сектор;правительство;20;45;0.8500
банковский сектор;официальный представитель;20;51;0.8000
банковский сектор;российское законодательство;20;49;1.0000
банковский сектор;исполнительный директор;20;40;0.8500
валютный контроль;российское правительство;8;51;0.8750
валютный контроль;российская компания;8;46;0.8750
валютный контроль;российская экономика;8;33;0.8750
валютный контроль;генеральный директор;8;34;0.8750
валютный контроль;украинское правительство;8;45;0.8750
валютный контроль;директор Института;8;32;0.8750
валютный контроль;российский производитель;8;48;1.0000
валютный контроль;правительство;8;45;0.8750
валютный контроль;официальный представитель;8;51;0.8750
валютный контроль;совет директоров;8;32;0.8750
валютный контроль;российское законодательство;8;49;1.0000
валютный контроль;исполнительный директор;8;40;0.8750
потребительский кредит;российское правительство;20;51;0.9000
потребительский кредит;российская компания;20;46;0.8000
потребительский кредит;окончательное решение;20;37;0.8000
потребительский кредит;аналитическое управление;20;43;0.8500
потребительский кредит;собственное средство;20;43;0.8500
потребительский кредит;дополнительное средство;20;42;0.8500
потребительский кредит;Следственный комитет;20;35;0.8000
потребительский кредит;российский производитель;20;48;0.8000
потребительский кредит;потребительское кредитование;20;26;0.9500
потребительский кредит;правительство;20;45;0.8000
потребительский кредит;официальный представитель;20;51;0.9000
потребительский кредит;российское законодательство;20;49;0.8500
потребительский кредит;исполнительный директор;20;40;0.8000
потребительский кредит;потребительский спрос;20;18;0.8000
