concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российское правительство;16;39;0.8750
банковский сектор;директор департамента;16;26;0.8125
банковский сектор;генеральный директор;16;32;0.8750
банковский сектор;аналитическое управление;16;38;1.0000
банковский сектор;собственное средство;16;30;0.9375
банковский сектор;дополнительное средство;16;36;0.9375
банковский сектор;проект постановления;16;35;0.8125
банковский сектор;российский производитель;16;40;0.9375
банковский сектор;правительство;16;35;0.8125
банковский сектор;официальный представитель;16;38;0.8750
банковский сектор;совет директоров;16;30;0.8125
настоящий момент;строительство;9;31;0.8889
настоящий момент;российский газ;9;32;0.8889
настоящий момент;российское правительство;9;39;1.0000
настоящий момент;российская компания;9;37;1.0000
настоящий момент;уголовная ответственность;9;29;0.8889
настоящий момент;эксперт;9;30;0.8889
настоящий момент;украинское правительство;9;30;0.8889
настоящий момент;аналитическое управление;9;38;0.8889
настоящий момент;российская власть;9;29;0.8889
настоящий момент;правительство РФ;9;33;1.0000
настоящий момент;российский производитель;9;40;1.0000
настоящий момент;федеральный закон;9;26;0.8889
настоящий момент;правительство;9;35;1.0000
настоящий момент;официальный представитель;9;38;1.0000
настоящий момент;российское законодательство;9;35;1.0000
валютный контроль;российское правительство;9;39;0.8889
валютный контроль;генеральный директор;9;32;0.8889
валютный контроль;региональная власть;9;24;0.8889
валютный контроль;аналитическое управление;9;38;1.0000
валютный контроль;правительство РФ;9;33;0.8889
валютный контроль;Российская Федерация;9;31;0.8889
валютный контроль;дополнительное средство;9;36;1.0000
валютный контроль;Следственный комитет;9;28;0.8889
валютный контроль;российский производитель;9;40;1.0000
валютный контроль;федеральный закон;9;26;0.8889
валютный контроль;правительство;9;35;1.0000
валютный контроль;официальный представитель;9;38;1.0000
валютный контроль;значительная часть;9;28;0.8889
валютный контроль;Совет Федерации;9;19;0.8889
потребительский кредит;российская сторона;16;31;0.8125
потребительский кредит;российское правительство;16;39;0.8750
потребительский кредит;эксперт;16;30;0.8125
потребительский кредит;аналитическое управление;16;38;1.0000
потребительский кредит;правительство РФ;16;33;0.8125
потребительский кредит;дополнительное средство;16;36;0.9375
потребительский кредит;российский производитель;16;40;0.9375
потребительский кредит;потребительское кредитование;16;20;0.8750
потребительский кредит;правительство;16;35;0.8750
потребительский кредит;официальный представитель;16;38;0.9375
потребительский кредит;потребительский спрос;16;15;0.8125
проблема;российское правительство;23;39;0.8696
проблема;аналитическое управление;23;38;0.9130
проблема;дополнительное средство;23;36;0.8696
проблема;проект постановления;23;35;0.8261
проблема;российский производитель;23;40;0.9565
проблема;правительство;23;35;0.8261
проблема;официальный представитель;23;38;0.9130
деньги;денежное средство;10;18;0.8000
деньги;российское правительство;10;39;1.0000
деньги;российская компания;10;37;0.8000
деньги;российский бюджет;10;32;0.8000
деньги;генеральный директор;10;32;0.8000
деньги;Банк России;10;16;0.8000
деньги;банк России;10;16;0.8000
деньги;аналитическое управление;10;38;0.9000
деньги;федеральный бюджет;10;24;0.8000
деньги;Российская Федерация;10;31;0.8000
деньги;дополнительное средство;10;36;1.0000
деньги;российский производитель;10;40;0.9000
деньги;официальный представитель;10;38;0.9000
деньги;российское законодательство;10;35;0.8000
деньги;бюджетное средство;10;19;0.8000
чистая прибыль;компания;7;35;1.0000
чистая прибыль;строительство;7;31;0.8571
чистая прибыль;российское правительство;7;39;1.0000
чистая прибыль;российская компания;7;37;1.0000
чистая прибыль;американская компания;7;26;0.8571
чистая прибыль;управляющая компания;7;31;1.0000
чистая прибыль;юридическое лицо;7;13;0.8571
чистая прибыль;юридическая фирма;7;14;0.8571
чистая прибыль;аналитик компании;7;28;0.8571
чистая прибыль;эксперт;7;30;0.8571
чистая прибыль;аналитическое управление;7;38;0.8571
чистая прибыль;правительство РФ;7;33;0.8571
чистая прибыль;иностранная компания;7;34;1.0000
чистая прибыль;дополнительное средство;7;36;0.8571
чистая прибыль;проект постановления;7;35;0.8571
чистая прибыль;российский производитель;7;40;1.0000
чистая прибыль;налог на прибыль;7;7;0.8571
чистая прибыль;крупная компания;7;29;1.0000
чистая прибыль;правительство;7;35;0.8571
чистая прибыль;официальный представитель;7;38;0.8571
чистая прибыль;российское законодательство;7;35;0.8571
чистая прибыль;исполнительный директор;7;32;0.8571
чистая прибыль;российский бизнес;7;29;0.8571
чистая прибыль;страховая компания;7;33;1.0000
розничная цена;интеллектуальная собственность;8;21;0.8750
розничная цена;генеральный директор;8;32;0.8750
розничная цена;региональная власть;8;24;0.8750
розничная цена;информация Известий"";8;22;0.8750
розничная цена;аналитическое управление;8;38;0.8750
розничная цена;собственное средство;8;30;0.8750
розничная цена;дополнительное средство;8;36;0.8750
розничная цена;проект постановления;8;35;1.0000
розничная цена;российский производитель;8;40;0.8750
розничная цена;официальный представитель;8;38;0.8750
розничная цена;совет директоров;8;30;0.8750
крупнейший банк;российский газ;10;32;0.8000
крупнейший банк;российское правительство;10;39;0.9000
крупнейший банк;российская компания;10;37;0.8000
крупнейший банк;эксперт;10;30;0.8000
крупнейший банк;аналитическое управление;10;38;1.0000
крупнейший банк;российская власть;10;29;0.8000
крупнейший банк;дополнительное средство;10;36;0.9000
крупнейший банк;проект постановления;10;35;0.9000
крупнейший банк;российский производитель;10;40;1.0000
крупнейший банк;правительство;10;35;0.8000
крупнейший банк;официальный представитель;10;38;0.9000
крупнейший банк;значительная часть;10;28;0.9000
средний бизнес;компания;9;35;0.8889
средний бизнес;бизнес;9;18;1.0000
средний бизнес;российское правительство;9;39;1.0000
средний бизнес;российская компания;9;37;0.8889
средний бизнес;российский бюджет;9;32;0.8889
средний бизнес;аналитическое управление;9;38;0.8889
средний бизнес;финансовая помощь;9;18;0.8889
средний бизнес;иностранная компания;9;34;0.8889
средний бизнес;дополнительное средство;9;36;0.8889
средний бизнес;проект постановления;9;35;0.8889
средний бизнес;министр финансов;9;20;0.8889
средний бизнес;российское законодательство;9;35;0.8889
средний бизнес;российский бизнес;9;29;0.8889
средний бизнес;страховая компания;9;33;1.0000
Федеральная антимонопольная служба;компания;13;35;0.9231
Федеральная антимонопольная служба;запрос Известий"";13;25;0.8462
Федеральная антимонопольная служба;российское правительство;13;39;1.0000
