concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;компания;6;23;1.0000
банковский сектор;правоохранительный орган;6;14;0.8333
банковский сектор;российская компания;6;26;0.8333
банковский сектор;управляющая компания;6;20;0.8333
банковский сектор;просроченная задолженность;6;11;0.8333
банковский сектор;аналитик компании;6;20;0.8333
банковский сектор;Национальное рейтинговое агентство;6;20;0.8333
банковский сектор;генеральный директор;6;21;0.8333
банковский сектор;аналитическое управление;6;21;0.8333
банковский сектор;правительство РФ;6;22;0.8333
банковский сектор;национальная экономика;6;20;0.8333
банковский сектор;иностранная компания;6;22;1.0000
банковский сектор;проект постановления;6;16;0.8333
банковский сектор;российский производитель;6;27;0.8333
банковский сектор;крупная компания;6;21;1.0000
банковский сектор;правительство;6;25;1.0000
банковский сектор;официальный представитель;6;25;1.0000
банковский сектор;исполнительный директор;6;23;1.0000
банковский сектор;страховая компания;6;21;1.0000
настоящий момент;компания;6;23;1.0000
настоящий момент;российский рубль;6;25;0.8333
настоящий момент;негосударственный пенсионный фонд;6;15;0.8333
настоящий момент;строительство;6;19;0.8333
настоящий момент;российская сторона;6;26;0.8333
настоящий момент;российский газ;6;26;0.8333
настоящий момент;российская валюта;6;22;0.8333
настоящий момент;российское правительство;6;27;0.8333
настоящий момент;российская компания;6;26;1.0000
настоящий момент;реальный сектор;6;11;0.8333
настоящий момент;начало года;6;20;0.8333
настоящий момент;российский рынок;6;26;0.8333
настоящий момент;аналитик компании;6;20;0.8333
настоящий момент;директор департамента;6;13;0.8333
настоящий момент;генеральный директор;6;21;1.0000
настоящий момент;украинское правительство;6;20;0.8333
настоящий момент;глава государства;6;15;0.8333
настоящий момент;директор Института;6;18;0.8333
настоящий момент;аналитическое управление;6;21;0.8333
настоящий момент;собственное средство;6;17;1.0000
настоящий момент;федеральный бюджет;6;17;0.8333
настоящий момент;российская власть;6;25;0.8333
настоящий момент;правительство РФ;6;22;0.8333
настоящий момент;Российская Федерация;6;25;0.8333
настоящий момент;иностранная компания;6;22;0.8333
настоящий момент;проект постановления;6;16;0.8333
настоящий момент;кредитная организация;6;17;0.8333
настоящий момент;российский банк;6;25;0.8333
настоящий момент;промышленное производство;6;21;1.0000
настоящий момент;российский производитель;6;27;1.0000
настоящий момент;крупная компания;6;21;0.8333
настоящий момент;федеральный закон;6;16;0.8333
настоящий момент;правительство;6;25;1.0000
настоящий момент;официальный представитель;6;25;1.0000
настоящий момент;совет директоров;6;20;0.8333
настоящий момент;российское законодательство;6;25;0.8333
настоящий момент;исполнительный директор;6;23;1.0000
настоящий момент;страховая компания;6;21;0.8333
потребительский кредит;строительство;14;19;0.9286
потребительский кредит;российская сторона;14;26;0.8571
потребительский кредит;российский газ;14;26;0.8571
потребительский кредит;российское правительство;14;27;0.9286
потребительский кредит;российская компания;14;26;0.8571
потребительский кредит;российский рынок;14;26;0.8571
потребительский кредит;Национальное рейтинговое агентство;14;20;0.8571
потребительский кредит;украинское правительство;14;20;0.8571
потребительский кредит;правительство РФ;14;22;1.0000
потребительский кредит;Российская Федерация;14;25;0.8571
потребительский кредит;дополнительное средство;14;18;0.8571
потребительский кредит;промышленное производство;14;21;0.8571
потребительский кредит;российский производитель;14;27;1.0000
потребительский кредит;потребительское кредитование;14;12;0.8571
потребительский кредит;правительство;14;25;1.0000
потребительский кредит;официальный представитель;14;25;0.9286
потребительский кредит;российское законодательство;14;25;0.9286
потребительский кредит;исполнительный директор;14;23;0.9286
потребительский кредит;потребительский спрос;14;12;0.8571
проблема;российский рубль;8;25;0.8750
проблема;российская сторона;8;26;1.0000
проблема;российский газ;8;26;1.0000
проблема;российская валюта;8;22;0.8750
проблема;российское правительство;8;27;1.0000
проблема;российский рынок;8;26;1.0000
проблема;российский бюджет;8;24;0.8750
проблема;законопроект;8;15;0.8750
проблема;российская экономика;8;20;0.8750
проблема;российская власть;8;25;1.0000
проблема;Российская Федерация;8;25;1.0000
проблема;российский банк;8;25;0.8750
проблема;промышленное производство;8;21;0.8750
проблема;российский производитель;8;27;1.0000
проблема;российское законодательство;8;25;0.8750
проблема;исполнительный директор;8;23;0.8750
чистая прибыль;компания;7;23;1.0000
чистая прибыль;российский рубль;7;25;0.8571
чистая прибыль;российская сторона;7;26;0.8571
чистая прибыль;российский газ;7;26;0.8571
чистая прибыль;российское правительство;7;27;0.8571
чистая прибыль;российская компания;7;26;0.8571
чистая прибыль;управляющая компания;7;20;0.8571
чистая прибыль;российский рынок;7;26;0.8571
чистая прибыль;аналитик компании;7;20;0.8571
чистая прибыль;генеральный директор;7;21;0.8571
чистая прибыль;аналитическое управление;7;21;0.8571
чистая прибыль;Российская Федерация;7;25;0.8571
чистая прибыль;иностранная компания;7;22;1.0000
чистая прибыль;российский банк;7;25;0.8571
чистая прибыль;российский производитель;7;27;0.8571
чистая прибыль;крупная компания;7;21;1.0000
чистая прибыль;официальный представитель;7;25;1.0000
чистая прибыль;российское законодательство;7;25;0.8571
чистая прибыль;российский бизнес;7;23;0.8571
чистая прибыль;страховая компания;7;21;1.0000
крупнейший банк;компания;10;23;1.0000
