concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российский рубль;13;29;0.8462
банковский сектор;строительство;13;34;0.8462
банковский сектор;российское правительство;13;39;1.0000
банковский сектор;российский рынок;13;28;0.8462
банковский сектор;аналитическое управление;13;31;0.8462
банковский сектор;собственное средство;13;29;0.9231
банковский сектор;правительство РФ;13;34;0.9231
банковский сектор;Российская Федерация;13;28;0.8462
банковский сектор;дополнительное средство;13;30;1.0000
банковский сектор;российский банк;13;31;0.9231
банковский сектор;российский производитель;13;38;0.9231
банковский сектор;потребительское кредитование;13;20;0.8462
банковский сектор;правительство;13;37;0.9231
банковский сектор;официальный представитель;13;36;0.8462
банковский сектор;российское законодательство;13;38;1.0000
банковский сектор;исполнительный директор;13;32;0.8462
валютный контроль;строительство;7;34;1.0000
валютный контроль;правоохранительный орган;7;18;0.8571
валютный контроль;российское правительство;7;39;1.0000
валютный контроль;уголовная ответственность;7;24;1.0000
валютный контроль;генеральный директор;7;29;0.8571
валютный контроль;украинское правительство;7;33;1.0000
валютный контроль;директор Института;7;27;0.8571
валютный контроль;аналитическое управление;7;31;0.8571
валютный контроль;правительство РФ;7;34;1.0000
валютный контроль;дополнительное средство;7;30;1.0000
валютный контроль;Следственный комитет;7;23;0.8571
валютный контроль;кредитная организация;7;25;0.8571
валютный контроль;российский производитель;7;38;1.0000
валютный контроль;правительство;7;37;1.0000
валютный контроль;официальный представитель;7;36;0.8571
валютный контроль;совет директоров;7;29;0.8571
валютный контроль;российское законодательство;7;38;1.0000
валютный контроль;исполнительный директор;7;32;1.0000
потребительский кредит;российский рубль;18;29;0.8333
потребительский кредит;строительство;18;34;0.8333
потребительский кредит;российское правительство;18;39;1.0000
потребительский кредит;российская компания;18;33;0.8333
потребительский кредит;аналитическое управление;18;31;0.8333
потребительский кредит;собственное средство;18;29;0.8333
потребительский кредит;правительство РФ;18;34;0.8333
потребительский кредит;дополнительное средство;18;30;0.8889
потребительский кредит;российский банк;18;31;0.8889
потребительский кредит;российский производитель;18;38;0.9444
