concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российский рубль;28;45;0.8214
банковский сектор;российский газ;28;45;0.8214
банковский сектор;российское правительство;28;56;0.9643
банковский сектор;российская компания;28;51;0.8571
банковский сектор;российский рынок;28;46;0.8214
банковский сектор;российский бюджет;28;49;0.8929
банковский сектор;директор департамента;28;41;0.8929
банковский сектор;украинское правительство;28;47;0.8214
банковский сектор;аналитическое управление;28;48;0.8929
банковский сектор;национальная экономика;28;52;0.8929
банковский сектор;Российская Федерация;28;47;0.8214
банковский сектор;кредитная организация;28;40;0.8214
банковский сектор;российский банк;28;45;0.8571
банковский сектор;российский производитель;28;52;0.8571
банковский сектор;правительство;28;53;0.8929
банковский сектор;официальный представитель;28;59;0.9643
банковский сектор;российское законодательство;28;53;0.8214
банковский сектор;исполнительный директор;28;50;0.8571
банковский сектор;российский бизнес;28;46;0.8214
настоящий момент;российский рубль;18;45;0.9444
настоящий момент;российская сторона;18;46;0.8889
настоящий момент;российский газ;18;45;0.9444
настоящий момент;российская валюта;18;40;0.8889
настоящий момент;российское правительство;18;56;1.0000
настоящий момент;российская компания;18;51;0.8889
настоящий момент;экономическая ситуация;18;46;0.8333
настоящий момент;настоящее время;18;21;0.8889
настоящий момент;российский рынок;18;46;0.9444
настоящий момент;российский бюджет;18;49;0.9444
настоящий момент;аналитическое управление;18;48;0.8333
настоящий момент;российская власть;18;41;0.8333
настоящий момент;национальная экономика;18;52;0.8889
настоящий момент;Российская Федерация;18;47;0.8889
настоящий момент;российский банк;18;45;0.9444
настоящий момент;российский производитель;18;52;1.0000
настоящий момент;правительство;18;53;0.8333
настоящий момент;официальный представитель;18;59;1.0000
настоящий момент;российское законодательство;18;53;0.9444
настоящий момент;исполнительный директор;18;50;0.8333
настоящий момент;российский бизнес;18;46;0.8889
валютный контроль;российское правительство;17;56;0.9412
валютный контроль;российская компания;17;51;0.8235
валютный контроль;уголовная ответственность;17;40;0.8235
валютный контроль;российский бюджет;17;49;0.8235
валютный контроль;директор Института;17;40;0.8235
валютный контроль;собственное средство;17;44;0.8824
валютный контроль;иностранная компания;17;43;0.8235
валютный контроль;дополнительное средство;17;48;0.8235
валютный контроль;Следственный комитет;17;38;0.8235
валютный контроль;кредитная организация;17;40;0.8235
валютный контроль;российский производитель;17;52;0.8235
валютный контроль;правительство;17;53;0.8824
валютный контроль;официальный представитель;17;59;1.0000
валютный контроль;российское законодательство;17;53;0.9412
валютный контроль;исполнительный директор;17;50;0.9412
потребительский кредит;российская сторона;23;46;0.8261
потребительский кредит;российское правительство;23;56;0.9565
потребительский кредит;российская компания;23;51;0.8696
потребительский кредит;экономическая ситуация;23;46;0.8261
потребительский кредит;российский рынок;23;46;0.8261
потребительский кредит;российский бюджет;23;49;0.8261
потребительский кредит;эксперт;23;39;0.8261
потребительский кредит;аналитическое управление;23;48;0.9130
потребительский кредит;национальная экономика;23;52;0.9565
потребительский кредит;дополнительное средство;23;48;0.8261
потребительский кредит;российский производитель;23;52;0.9130
потребительский кредит;потребительское кредитование;23;26;0.8696
потребительский кредит;правительство;23;53;0.8696
потребительский кредит;официальный представитель;23;59;1.0000
потребительский кредит;российское законодательство;23;53;0.9130
потребительский кредит;исполнительный директор;23;50;0.8261
проблема;российский рубль;19;45;0.8421
проблема;российская сторона;19;46;0.8421
проблема;российский газ;19;45;0.8421
проблема;российское правительство;19;56;1.0000
проблема;национальная валюта;19;38;0.8421
проблема;российская компания;19;51;0.8421
проблема;российский рынок;19;46;0.8421
проблема;российский бюджет;19;49;0.8947
проблема;директор департамента;19;41;0.8421
проблема;украинское правительство;19;47;0.8421
проблема;аналитическое управление;19;48;0.9474
проблема;национальная экономика;19;52;0.8947
проблема;российский банк;19;45;0.8421
проблема;российский производитель;19;52;0.9474
проблема;правительство;19;53;0.9474
проблема;официальный представитель;19;59;1.0000
проблема;российское законодательство;19;53;0.8947
проблема;российский бизнес;19;46;0.8947
деньги;компания;9;41;0.8889
деньги;строительство;9;39;0.8889
деньги;российское правительство;9;56;1.0000
деньги;российская компания;9;51;0.8889
деньги;уголовная ответственность;9;40;0.8889
деньги;управляющая компания;9;37;0.8889
деньги;экономическая ситуация;9;46;0.8889
деньги;эксперт;9;39;0.8889
деньги;генеральный директор;9;41;1.0000
деньги;украинское правительство;9;47;0.8889
деньги;директор Института;9;40;1.0000
деньги;аналитическое управление;9;48;0.8889
деньги;правительство РФ;9;45;0.8889
деньги;национальная экономика;9;52;0.8889
деньги;иностранная компания;9;43;0.8889
деньги;дополнительное средство;9;48;0.8889
деньги;Следственный комитет;9;38;0.8889
деньги;крупная компания;9;33;0.8889
деньги;правительство;9;53;0.8889
деньги;официальный представитель;9;59;1.0000
деньги;совет директоров;9;41;1.0000
деньги;российское законодательство;9;53;1.0000
