concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;компания;16;44;0.8750
банковский сектор;строительство;16;42;0.8750
банковский сектор;российское правительство;16;51;1.0000
банковский сектор;российская компания;16;44;0.8750
банковский сектор;управляющая компания;16;39;0.8750
банковский сектор;законопроект;16;36;0.8125
банковский сектор;аналитик компании;16;43;0.9375
банковский сектор;Национальное рейтинговое агентство;16;33;0.8750
банковский сектор;Банк России;16;21;0.8125
банковский сектор;банк России;16;21;0.8125
банковский сектор;аналитическое управление;16;44;0.9375
банковский сектор;собственное средство;16;42;0.9375
банковский сектор;правительство РФ;16;43;0.8750
банковский сектор;иностранная компания;16;40;0.8750
банковский сектор;дополнительное средство;16;42;0.8750
банковский сектор;проект постановления;16;40;0.8750
банковский сектор;кредитная организация;16;28;0.8750
банковский сектор;российский банк;16;40;0.8125
банковский сектор;российский производитель;16;49;0.8125
банковский сектор;крупная компания;16;37;0.8125
банковский сектор;правительство;16;48;1.0000
банковский сектор;официальный представитель;16;50;0.9375
банковский сектор;российское законодательство;16;48;0.9375
банковский сектор;исполнительный директор;16;42;0.9375
банковский сектор;финансовая система;16;25;0.8750
банковский сектор;страховая компания;16;38;0.8125
настоящий момент;строительство;16;42;0.8125
настоящий момент;российское правительство;16;51;0.9375
настоящий момент;российская компания;16;44;0.8125
настоящий момент;законопроект;16;36;0.8125
настоящий момент;аналитик компании;16;43;0.8750
настоящий момент;Национальное рейтинговое агентство;16;33;0.8750
настоящий момент;директор Института;16;36;0.8125
настоящий момент;аналитическое управление;16;44;0.8750
настоящий момент;собственное средство;16;42;0.8750
настоящий момент;правительство РФ;16;43;0.8125
настоящий момент;Следственный комитет;16;38;0.9375
настоящий момент;кредитная организация;16;28;0.8125
настоящий момент;российский производитель;16;49;0.9375
настоящий момент;правительство;16;48;0.8750
настоящий момент;официальный представитель;16;50;1.0000
настоящий момент;совет директоров;16;34;0.8125
настоящий момент;российское законодательство;16;48;0.8125
настоящий момент;исполнительный директор;16;42;0.8125
валютный контроль;компания;16;44;0.8125
валютный контроль;российский рубль;16;38;0.8125
валютный контроль;российская сторона;16;39;0.8750
валютный контроль;российский газ;16;39;0.8750
валютный контроль;российская валюта;16;36;0.8125
валютный контроль;российское правительство;16;51;1.0000
валютный контроль;российская компания;16;44;0.8750
валютный контроль;российский рынок;16;39;0.8750
валютный контроль;российский бюджет;16;39;0.8125
валютный контроль;аналитик компании;16;43;0.8750
валютный контроль;эксперт;16;37;0.8125
валютный контроль;генеральный директор;16;35;0.8125
валютный контроль;директор Института;16;36;0.8125
валютный контроль;аналитическое управление;16;44;0.8125
валютный контроль;собственное средство;16;42;0.8125
валютный контроль;российская власть;16;38;0.8750
валютный контроль;Российская Федерация;16;38;0.8125
валютный контроль;дополнительное средство;16;42;0.8750
валютный контроль;проект постановления;16;40;0.8750
валютный контроль;российский банк;16;40;0.8125
валютный контроль;российский производитель;16;49;0.8750
валютный контроль;правительство;16;48;0.9375
валютный контроль;официальный представитель;16;50;0.9375
