concept1;concept2;size of concept1;size of concept2;confidence
новый проект;проект постановления;7;12;1.0000
новый проект;правительство;7;14;0.8571
потребительский спрос;потребительский кредит;7;8;1.0000
потребительский спрос;компания;7;14;0.8571
потребительский спрос;официальный представитель;7;16;0.8571
потребительский спрос;российское правительство;7;15;1.0000
потребительский спрос;потребительская цена;7;6;0.8571
потребительский спрос;аналитическое управление;7;12;1.0000
потребительский спрос;правительство РФ;7;14;0.8571
потребительский спрос;проект постановления;7;12;0.8571
потребительский спрос;потребительское кредитование;7;9;1.0000
потребительский спрос;правительство;7;14;0.8571
российское законодательство;компания;12;14;0.8333
российское законодательство;строительство;12;11;0.9167
российское законодательство;официальный представитель;12;16;0.9167
российское законодательство;российское правительство;12;15;1.0000
российское законодательство;украинское правительство;12;11;0.8333
российское законодательство;аналитическое управление;12;12;0.8333
российское законодательство;собственное средство;12;14;0.8333
российское законодательство;правительство РФ;12;14;0.9167
российское законодательство;правительство;12;14;0.9167
Гражданский кодекс;компания;8;14;0.8750
Гражданский кодекс;официальный представитель;8;16;0.8750
Гражданский кодекс;российское правительство;8;15;1.0000
Гражданский кодекс;управляющая компания;8;11;0.8750
Гражданский кодекс;украинское правительство;8;11;0.8750
Гражданский кодекс;гражданская авиация;8;8;0.8750
Гражданский кодекс;аналитическое управление;8;12;1.0000
Гражданский кодекс;собственное средство;8;14;0.8750
Гражданский кодекс;правительство РФ;8;14;1.0000
Гражданский кодекс;иностранная компания;8;13;0.8750
Гражданский кодекс;правительство;8;14;1.0000
Гражданский кодекс;страховая компания;8;12;0.8750
исполнительный директор;компания;12;14;0.8333
исполнительный директор;официальный представитель;12;16;1.0000
исполнительный директор;российское правительство;12;15;0.8333
исполнительный директор;генеральный директор;12;10;0.8333
исполнительный директор;собственное средство;12;14;0.9167
исполнительный директор;правительство РФ;12;14;0.8333
исполнительный директор;иностранная компания;12;13;0.8333
исполнительный директор;правительство;12;14;0.8333
российский бизнес;компания;7;14;1.0000
российский бизнес;российский рубль;7;7;0.8571
российский бизнес;официальный представитель;7;16;1.0000
российский бизнес;российская сторона;7;7;0.8571
российский бизнес;российский газ;7;6;0.8571
российский бизнес;российская валюта;7;6;0.8571
российский бизнес;российское правительство;7;15;0.8571
российский бизнес;российская компания;7;11;1.0000
российский бизнес;уголовная ответственность;7;11;0.8571
российский бизнес;собственное средство;7;14;0.8571
российский бизнес;российская власть;7;6;0.8571
российский бизнес;иностранная компания;7;13;0.8571
российский бизнес;российский банк;7;6;0.8571
российский бизнес;российский производитель;7;9;0.8571
российский бизнес;российское законодательство;7;12;0.8571
течение года;строительство;9;11;0.8889
течение года;официальный представитель;9;16;0.8889
течение года;российское правительство;9;15;1.0000
течение года;украинское правительство;9;11;0.8889
течение года;правительство РФ;9;14;1.0000
течение года;правительство;9;14;1.0000
течение года;российское законодательство;9;12;0.8889
течение года;страховая компания;9;12;0.8889
страховая компания;компания;12;14;0.9167
страховая компания;официальный представитель;12;16;0.9167
страховая компания;российское правительство;12;15;0.8333
страховая компания;управляющая компания;12;11;0.8333
страховая компания;собственное средство;12;14;0.9167
страховая компания;правительство РФ;12;14;0.8333
страховая компания;иностранная компания;12;13;0.9167
страховая компания;правительство;12;14;0.8333
