concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;национальная валюта;12;21;0.8333
банковский сектор;уголовная ответственность;12;30;0.9167
банковский сектор;кредит;12;13;0.8333
банковский сектор;коммерческий банк;12;16;0.8333
банковский сектор;генеральный директор;12;24;0.8333
банковский сектор;директор Института;12;21;0.8333
банковский сектор;Центральный банк;12;19;0.8333
банковский сектор;аналитическое управление;12;32;0.9167
банковский сектор;национальная экономика;12;22;0.8333
банковский сектор;дополнительное средство;12;31;0.8333
банковский сектор;официальный представитель;12;33;0.8333
банковский сектор;исполнительный директор;12;29;0.9167
настоящий момент;российское правительство;9;28;0.8889
настоящий момент;российская компания;9;29;0.8889
настоящий момент;украинское правительство;9;26;0.8889
настоящий момент;аналитическое управление;9;32;0.8889
настоящий момент;иностранная компания;9;26;0.8889
настоящий момент;проект постановления;9;27;1.0000
настоящий момент;официальный представитель;9;33;0.8889
настоящий момент;исполнительный директор;9;29;0.8889
потребительский кредит;аналитическое управление;13;32;1.0000
потребительский кредит;потребительское кредитование;13;16;0.9231
проблема;уголовная ответственность;12;30;0.9167
проблема;аналитическое управление;12;32;0.9167
проблема;дополнительное средство;12;31;0.8333
проблема;проект постановления;12;27;0.9167
проблема;исполнительный директор;12;29;0.9167
деньги;национальная валюта;13;21;0.8462
деньги;уголовная ответственность;13;30;0.9231
деньги;Национальное рейтинговое агентство;13;22;0.8462
деньги;аналитическое управление;13;32;0.8462
деньги;дополнительное средство;13;31;1.0000
деньги;официальный представитель;13;33;0.9231
заработная плата;иностранный инвестор;6;20;0.8333
заработная плата;уголовная ответственность;6;30;0.8333
заработная плата;экономическая ситуация;6;18;0.8333
заработная плата;аналитическое управление;6;32;0.8333
заработная плата;иностранная компания;6;26;0.8333
заработная плата;дополнительное средство;6;31;0.8333
заработная плата;российский банк;6;29;0.8333
заработная плата;правительство;6;29;0.8333
заработная плата;официальный представитель;6;33;0.8333
чистая прибыль;компания;7;27;0.8571
чистая прибыль;российская компания;7;29;0.8571
чистая прибыль;уголовная ответственность;7;30;1.0000
чистая прибыль;управляющая компания;7;23;0.8571
чистая прибыль;начало года;7;16;0.8571
чистая прибыль;коммерческий банк;7;16;0.8571
чистая прибыль;аналитическое управление;7;32;0.8571
чистая прибыль;собственное средство;7;24;0.8571
чистая прибыль;иностранная компания;7;26;0.8571
чистая прибыль;дополнительное средство;7;31;0.8571
чистая прибыль;кредитная организация;7;21;0.8571
чистая прибыль;российский производитель;7;29;0.8571
чистая прибыль;налог на прибыль;7;7;0.8571
чистая прибыль;крупная компания;7;19;0.8571
чистая прибыль;правительство;7;29;0.8571
чистая прибыль;официальный представитель;7;33;0.8571
чистая прибыль;исполнительный директор;7;29;1.0000
чистая прибыль;страховая компания;7;21;0.8571
розничная цена;директор департамента;8;18;0.8750
розничная цена;население;8;15;0.8750
розничная цена;генеральный директор;8;24;1.0000
розничная цена;региональная власть;8;18;0.8750
розничная цена;директор Института;8;21;1.0000
розничная цена;Центральный банк;8;19;0.8750
