concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;компания;16;54;0.9375
банковский сектор;российское правительство;16;54;0.8750
банковский сектор;российская компания;16;50;0.9375
банковский сектор;управляющая компания;16;44;0.8750
банковский сектор;аналитик компании;16;51;0.9375
банковский сектор;директор департамента;16;34;0.8125
банковский сектор;генеральный директор;16;42;0.9375
банковский сектор;директор Института;16;41;0.8750
банковский сектор;аналитическое управление;16;48;0.9375
банковский сектор;собственное средство;16;51;0.8125
банковский сектор;иностранная компания;16;50;0.8750
банковский сектор;дополнительное средство;16;53;0.9375
банковский сектор;российский банк;16;40;0.8125
банковский сектор;российский производитель;16;49;0.8125
банковский сектор;официальный представитель;16;55;0.8750
банковский сектор;совет директоров;16;41;0.9375
банковский сектор;исполнительный директор;16;48;0.9375
банковский сектор;страховая компания;16;49;0.8750
настоящий момент;компания;8;54;1.0000
настоящий момент;строительство;8;39;0.8750
настоящий момент;российское правительство;8;54;0.8750
настоящий момент;российская компания;8;50;0.8750
настоящий момент;аналитик компании;8;51;0.8750
настоящий момент;правительство РФ;8;43;1.0000
настоящий момент;дополнительное средство;8;53;0.8750
настоящий момент;проект постановления;8;44;0.8750
настоящий момент;российский производитель;8;49;1.0000
настоящий момент;правительство;8;48;1.0000
настоящий момент;официальный представитель;8;55;1.0000
настоящий момент;российское законодательство;8;45;0.8750
настоящий момент;страховая компания;8;49;0.8750
валютный контроль;российское правительство;9;54;0.8889
валютный контроль;российская компания;9;50;1.0000
валютный контроль;генеральный директор;9;42;0.8889
валютный контроль;директор Института;9;41;0.8889
валютный контроль;российский производитель;9;49;0.8889
валютный контроль;совет директоров;9;41;0.8889
валютный контроль;исполнительный директор;9;48;0.8889
потребительский кредит;компания;22;54;0.8182
потребительский кредит;российское правительство;22;54;0.8182
потребительский кредит;российская компания;22;50;0.8636
потребительский кредит;аналитическое управление;22;48;0.8182
потребительский кредит;собственное средство;22;51;0.8636
потребительский кредит;дополнительное средство;22;53;0.8636
потребительский кредит;Следственный комитет;22;42;0.8636
потребительский кредит;российский производитель;22;49;0.8182
потребительский кредит;потребительское кредитование;22;30;0.9545
потребительский кредит;официальный представитель;22;55;0.9091
проблема;компания;21;54;0.9048
проблема;российское правительство;21;54;0.8095
проблема;российская компания;21;50;0.8571
проблема;аналитик компании;21;51;0.8571
проблема;аналитическое управление;21;48;0.8095
проблема;собственное средство;21;51;0.8095
проблема;дополнительное средство;21;53;0.8095
проблема;официальный представитель;21;55;0.9524
проблема;российское законодательство;21;45;0.8095
проблема;страховая компания;21;49;0.8571
деньги;компания;11;54;0.9091
деньги;российское правительство;11;54;0.8182
деньги;управляющая компания;11;44;0.8182
деньги;аналитик компании;11;51;0.8182
деньги;аналитическое управление;11;48;0.8182
деньги;собственное средство;11;51;0.9091
деньги;иностранная компания;11;50;0.9091
деньги;дополнительное средство;11;53;1.0000
деньги;Следственный комитет;11;42;0.9091
деньги;официальный представитель;11;55;0.9091
деньги;исполнительный директор;11;48;0.8182
деньги;страховая компания;11;49;0.9091
средняя зарплата;компания;8;54;1.0000
средняя зарплата;правоохранительный орган;8;33;0.8750
средняя зарплата;российская компания;8;50;1.0000
средняя зарплата;уголовная ответственность;8;31;1.0000
средняя зарплата;управляющая компания;8;44;1.0000
средняя зарплата;законопроект;8;29;0.8750
средняя зарплата;аналитик компании;8;51;1.0000
средняя зарплата;Банк России;8;19;0.8750
средняя зарплата;банк России;8;19;0.8750
средняя зарплата;собственное средство;8;51;0.8750
средняя зарплата;Российская Федерация;8;42;0.8750
средняя зарплата;иностранная компания;8;50;0.8750
средняя зарплата;дополнительное средство;8;53;1.0000
средняя зарплата;проект постановления;8;44;0.8750
средняя зарплата;официальный представитель;8;55;1.0000
средняя зарплата;исполнительная власть;8;37;0.8750
средняя зарплата;исполнительный директор;8;48;1.0000
средняя зарплата;страховая компания;8;49;0.8750
чистая прибыль;компания;10;54;1.0000
чистая прибыль;российский рубль;10;38;0.9000
чистая прибыль;российская сторона;10;37;0.9000
чистая прибыль;российский газ;10;37;0.8000
чистая прибыль;российская валюта;10;35;0.8000
чистая прибыль;российское правительство;10;54;1.0000
чистая прибыль;российская компания;10;50;1.0000
чистая прибыль;управляющая компания;10;44;1.0000
чистая прибыль;российский рынок;10;37;0.9000
чистая прибыль;российский бюджет;10;35;0.8000
чистая прибыль;российская экономика;10;37;0.9000
чистая прибыль;аналитик компании;10;51;0.9000
чистая прибыль;генеральный директор;10;42;0.8000
чистая прибыль;аналитическое управление;10;48;0.9000
чистая прибыль;собственное средство;10;51;1.0000
чистая прибыль;российская власть;10;37;0.9000
чистая прибыль;Российская Федерация;10;42;0.9000
чистая прибыль;иностранная компания;10;50;0.8000
чистая прибыль;проект постановления;10;44;0.8000
чистая прибыль;российский банк;10;40;0.9000
чистая прибыль;российский производитель;10;49;0.9000
чистая прибыль;правительство;10;48;0.8000
чистая прибыль;официальный представитель;10;55;1.0000
чистая прибыль;совет директоров;10;41;0.8000
чистая прибыль;российское законодательство;10;45;1.0000
чистая прибыль;исполнительный директор;10;48;0.9000
чистая прибыль;российский бизнес;10;37;0.9000
чистая прибыль;страховая компания;10;49;0.8000
розничная цена;банковский сектор;6;16;0.8333
розничная цена;компания;6;54;0.8333
розничная цена;запрос Известий"";6;26;0.8333
розничная цена;общий объем;6;27;0.8333
розничная цена;российское правительство;6;54;0.8333
розничная цена;российская компания;6;50;0.8333
розничная цена;управляющая компания;6;44;0.8333
розничная цена;экономическая ситуация;6;32;0.8333
розничная цена;генеральный директор;6;42;1.0000
розничная цена;информация Известий"";6;38;0.8333
розничная цена;директор Института;6;41;1.0000
розничная цена;Центральный банк;6;23;0.8333
розничная цена;аналитическое управление;6;48;1.0000
розничная цена;собственное средство;6;51;1.0000
розничная цена;иностранная компания;6;50;0.8333
розничная цена;дополнительное средство;6;53;1.0000
розничная цена;проект постановления;6;44;0.8333
розничная цена;совет директоров;6;41;1.0000
розничная цена;исполнительный директор;6;48;1.0000
розничная цена;страховая компания;6;49;0.8333
крупнейший банк;компания;14;54;0.9286
крупнейший банк;российское правительство;14;54;0.8571
крупнейший банк;российская компания;14;50;0.8571
крупнейший банк;аналитик компании;14;51;0.8571
крупнейший банк;аналитическое управление;14;48;0.9286
крупнейший банк;собственное средство;14;51;0.9286
крупнейший банк;иностранная компания;14;50;1.0000
крупнейший банк;дополнительное средство;14;53;0.8571
крупнейший банк;крупная компания;14;37;0.9286
крупнейший банк;официальный представитель;14;55;0.8571
крупнейший банк;страховая компания;14;49;0.9286
