concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;официальный представитель;19;64;0.9474
банковский сектор;аналитическое управление;19;49;0.9474
банковский сектор;правительство;19;60;0.8421
настоящий момент;компания;14;54;0.8571
настоящий момент;официальный представитель;14;64;0.9286
настоящий момент;российское правительство;14;59;0.8571
настоящий момент;аналитик компании;14;52;0.8571
настоящий момент;директор департамента;14;45;0.8571
настоящий момент;иностранная компания;14;55;0.8571
настоящий момент;российский производитель;14;55;0.9286
настоящий момент;правительство;14;60;0.9286
валютный контроль;компания;9;54;0.8889
валютный контроль;официальный представитель;9;64;0.8889
валютный контроль;Следственный комитет;9;50;0.8889
валютный контроль;иностранная компания;9;55;0.8889
валютный контроль;правительство;9;60;0.8889
валютный контроль;исполнительный директор;9;54;0.8889
потребительский кредит;официальный представитель;22;64;0.9545
потребительский кредит;российское правительство;22;59;0.8182
потребительский кредит;аналитик компании;22;52;0.8182
потребительский кредит;национальная экономика;22;46;0.8182
потребительский кредит;потребительское кредитование;22;20;0.8636
потребительский кредит;правительство;22;60;0.9091
проблема;официальный представитель;17;64;1.0000
проблема;российское правительство;17;59;0.9412
проблема;российская компания;17;53;0.8235
проблема;уголовная ответственность;17;39;0.8235
проблема;интеллектуальная собственность;17;35;0.8235
проблема;эксперт;17;43;0.8824
проблема;украинское правительство;17;45;0.8235
проблема;аналитическое управление;17;49;0.9412
проблема;собственное средство;17;49;0.8235
проблема;российский производитель;17;55;0.8824
проблема;правительство;17;60;0.9412
проблема;российское законодательство;17;54;0.8235
проблема;исполнительный директор;17;54;0.8235
деньги;российский бюджет;15;42;0.8000
деньги;официальный представитель;15;64;0.9333
деньги;российское правительство;15;59;0.8000
деньги;собственное средство;15;49;0.8000
деньги;иностранная компания;15;55;0.8000
деньги;дополнительное средство;15;56;0.9333
деньги;российский производитель;15;55;0.8000
деньги;правительство;15;60;0.9333
деньги;российское законодательство;15;54;0.8000
заработная плата;компания;7;54;0.8571
заработная плата;официальный представитель;7;64;1.0000
заработная плата;российское правительство;7;59;0.8571
заработная плата;российская компания;7;53;0.8571
заработная плата;американская компания;7;30;0.8571
заработная плата;аналитик компании;7;52;0.8571
заработная плата;эксперт;7;43;1.0000
заработная плата;исполнительная власть;7;42;0.8571
заработная плата;иностранная компания;7;55;0.8571
заработная плата;дополнительное средство;7;56;0.8571
заработная плата;российский производитель;7;55;1.0000
заработная плата;правительство;7;60;0.8571
заработная плата;исполнительный директор;7;54;1.0000
заработная плата;страховая компания;7;50;0.8571
российский бюджет;российский рубль;42;38;0.8333
российский бюджет;официальный представитель;42;64;0.9524
российский бюджет;российская сторона;42;39;0.8333
российский бюджет;российский газ;42;38;0.8333
российский бюджет;российская валюта;42;36;0.8095
российский бюджет;российское правительство;42;59;0.9286
российский бюджет;российская компания;42;53;0.8333
российский бюджет;российский рынок;42;38;0.8333
российский бюджет;российская власть;42;38;0.8095
российский бюджет;Российская Федерация;42;43;0.8571
российский бюджет;дополнительное средство;42;56;0.8095
