concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;потребительский кредит;15;23;0.8667
банковский сектор;финансовый рынок;15;20;0.8667
банковский сектор;строительство;15;24;0.8667
банковский сектор;правоохранительный орган;15;21;0.8667
банковский сектор;российское правительство;15;36;0.9333
банковский сектор;пояснительная записка;15;23;0.8000
банковский сектор;уголовная ответственность;15;26;0.9333
банковский сектор;кредит;15;17;0.8667
банковский сектор;украинское правительство;15;32;0.8000
банковский сектор;Банк России;15;13;0.8000
банковский сектор;банк России;15;13;0.8000
банковский сектор;аналитическое управление;15;34;1.0000
банковский сектор;собственное средство;15;30;0.9333
банковский сектор;правительство РФ;15;27;0.8667
банковский сектор;национальная экономика;15;28;0.8667
банковский сектор;дополнительное средство;15;31;0.9333
банковский сектор;Следственный комитет;15;29;0.8667
банковский сектор;кредитная организация;15;25;0.8667
банковский сектор;министр финансов;15;19;0.8667
банковский сектор;российский банк;15;29;0.8000
банковский сектор;российский производитель;15;35;0.8667
банковский сектор;правительство;15;32;0.8667
банковский сектор;официальный представитель;15;37;1.0000
банковский сектор;банк;15;12;0.8000
банковский сектор;российское законодательство;15;34;0.9333
банковский сектор;исполнительный директор;15;29;0.9333
настоящий момент;российский рубль;10;27;0.8000
настоящий момент;строительство;10;24;0.8000
настоящий момент;российская сторона;10;25;0.8000
настоящий момент;российский газ;10;28;0.8000
настоящий момент;правоохранительный орган;10;21;0.8000
настоящий момент;российское правительство;10;36;1.0000
настоящий момент;окончательное решение;10;22;0.8000
настоящий момент;российский рынок;10;28;0.8000
настоящий момент;российский бюджет;10;28;0.8000
настоящий момент;директор департамента;10;24;0.8000
настоящий момент;украинское правительство;10;32;0.8000
настоящий момент;директор Института;10;23;0.8000
настоящий момент;аналитическое управление;10;34;0.9000
настоящий момент;собственное средство;10;30;0.8000
настоящий момент;российская власть;10;27;0.8000
настоящий момент;правительство РФ;10;27;0.9000
настоящий момент;национальная экономика;10;28;0.8000
настоящий момент;Российская Федерация;10;26;0.8000
настоящий момент;дополнительное средство;10;31;1.0000
настоящий момент;кредитная организация;10;25;0.8000
настоящий момент;российский банк;10;29;0.8000
настоящий момент;российский производитель;10;35;0.9000
настоящий момент;правительство;10;32;0.9000
настоящий момент;официальный представитель;10;37;0.9000
настоящий момент;российское законодательство;10;34;1.0000
настоящий момент;исполнительный директор;10;29;0.8000
настоящий момент;российский бизнес;10;29;0.8000
валютный контроль;компания;12;28;0.9167
валютный контроль;российский рубль;12;27;0.8333
валютный контроль;российский газ;12;28;0.8333
валютный контроль;российское правительство;12;36;0.8333
валютный контроль;российская компания;12;29;0.9167
валютный контроль;уголовная ответственность;12;26;0.8333
валютный контроль;управляющая компания;12;27;1.0000
валютный контроль;экономическая ситуация;12;24;0.8333
валютный контроль;российский рынок;12;28;0.8333
валютный контроль;российский бюджет;12;28;0.8333
валютный контроль;аналитик компании;12;25;0.8333
валютный контроль;украинское правительство;12;32;0.8333
валютный контроль;аналитическое управление;12;34;1.0000
валютный контроль;российская власть;12;27;0.8333
валютный контроль;национальная экономика;12;28;0.8333
валютный контроль;Российская Федерация;12;26;0.8333
валютный контроль;иностранная компания;12;27;0.9167
валютный контроль;Следственный комитет;12;29;0.8333
валютный контроль;проект постановления;12;28;0.8333
валютный контроль;российский банк;12;29;0.9167
валютный контроль;российский производитель;12;35;0.9167
валютный контроль;крупная компания;12;25;0.8333
валютный контроль;официальный представитель;12;37;1.0000
валютный контроль;исполнительный директор;12;29;0.8333
валютный контроль;российский бизнес;12;29;0.8333
валютный контроль;страховая компания;12;26;0.9167
потребительский кредит;российское правительство;23;36;0.9565
потребительский кредит;аналитическое управление;23;34;0.9130
потребительский кредит;собственное средство;23;30;0.8261
потребительский кредит;дополнительное средство;23;31;0.8261
потребительский кредит;российский производитель;23;35;0.9130
потребительский кредит;правительство;23;32;0.8696
потребительский кредит;официальный представитель;23;37;0.9565
потребительский кредит;российское законодательство;23;34;0.9130
потребительский кредит;исполнительный директор;23;29;0.8261
проблема;российское правительство;20;36;0.9500
проблема;украинское правительство;20;32;0.9500
проблема;аналитическое управление;20;34;0.9000
проблема;правительство РФ;20;27;0.8500
проблема;национальная экономика;20;28;0.8000
проблема;дополнительное средство;20;31;0.8500
проблема;Следственный комитет;20;29;0.8000
проблема;российский производитель;20;35;0.9000
проблема;правительство;20;32;0.9000
проблема;официальный представитель;20;37;1.0000
проблема;российское законодательство;20;34;0.8500
розничная цена;правоохранительный орган;8;21;0.8750
розничная цена;российское правительство;8;36;0.8750
розничная цена;директор департамента;8;24;1.0000
розничная цена;генеральный директор;8;25;0.8750
розничная цена;украинское правительство;8;32;0.8750
розничная цена;директор Института;8;23;0.8750
розничная цена;аналитическое управление;8;34;0.8750
розничная цена;собственное средство;8;30;1.0000
розничная цена;дополнительное средство;8;31;1.0000
розничная цена;Следственный комитет;8;29;1.0000
розничная цена;проект постановления;8;28;0.8750
розничная цена;кредитная организация;8;25;0.8750
розничная цена;российский производитель;8;35;0.8750
розничная цена;правительство;8;32;0.8750
розничная цена;официальный представитель;8;37;1.0000
розничная цена;совет директоров;8;23;0.8750
розничная цена;исполнительный директор;8;29;0.8750
крупнейший банк;потребительский кредит;9;23;1.0000
крупнейший банк;российское правительство;9;36;0.8889
крупнейший банк;аналитическое управление;9;34;1.0000
крупнейший банк;российский производитель;9;35;0.8889
крупнейший банк;официальный представитель;9;37;1.0000
крупнейший банк;российское законодательство;9;34;0.8889
средний бизнес;бизнес;14;17;1.0000
средний бизнес;российское правительство;14;36;0.8571
средний бизнес;российская компания;14;29;0.8571
средний бизнес;украинское правительство;14;32;0.9286
средний бизнес;аналитическое управление;14;34;0.9286
средний бизнес;собственное средство;14;30;0.8571
средний бизнес;правительство РФ;14;27;0.8571
средний бизнес;национальная экономика;14;28;0.8571
средний бизнес;дополнительное средство;14;31;0.8571
средний бизнес;российский производитель;14;35;0.9286
средний бизнес;правительство;14;32;0.8571
средний бизнес;официальный представитель;14;37;0.9286
средний бизнес;российский бизнес;14;29;0.8571
Федеральная антимонопольная служба;строительство;9;24;1.0000
Федеральная антимонопольная служба;запрос Известий"";9;18;0.8889
Федеральная антимонопольная служба;российское правительство;9;36;1.0000
Федеральная антимонопольная служба;пояснительная записка;9;23;0.8889
Федеральная антимонопольная служба;украинское правительство;9;32;1.0000
Федеральная антимонопольная служба;гражданская авиация;9;14;0.8889
Федеральная антимонопольная служба;Федеральная налоговая служба;9;13;1.0000
Федеральная антимонопольная служба;аналитическое управление;9;34;1.0000
Федеральная антимонопольная служба;федеральный бюджет;9;19;1.0000
Федеральная антимонопольная служба;правительство РФ;9;27;1.0000
Федеральная антимонопольная служба;национальная экономика;9;28;0.8889
Федеральная антимонопольная служба;дополнительное средство;9;31;0.8889
Федеральная антимонопольная служба;проект постановления;9;28;1.0000
Федеральная антимонопольная служба;российский производитель;9;35;1.0000
Федеральная антимонопольная служба;федеральный закон;9;19;1.0000
Федеральная антимонопольная служба;правительство;9;32;1.0000
Федеральная антимонопольная служба;официальный представитель;9;37;1.0000
Федеральная антимонопольная служба;федеральная целевая программа;9;16;1.0000
Федеральная антимонопольная служба;российское законодательство;9;34;0.8889
Федеральная антимонопольная служба;исполнительная власть;9;21;0.8889
компания;российское правительство;28;36;0.8929
компания;российская компания;28;29;0.9286
компания;управляющая компания;28;27;0.8571
компания;аналитик компании;28;25;0.8214
компания;украинское правительство;28;32;0.8214
компания;аналитическое управление;28;34;0.8214
компания;иностранная компания;28;27;0.9286
компания;российский банк;28;29;0.8214
компания;российский производитель;28;35;0.9286
компания;крупная компания;28;25;0.8929
компания;официальный представитель;28;37;0.9643
компания;российское законодательство;28;34;0.8214
компания;российский бизнес;28;29;0.8214
компания;страховая компания;28;26;0.8929
кредитный портфель;потребительский кредит;10;23;0.9000
кредитный портфель;финансовый рынок;10;20;1.0000
кредитный портфель;строительство;10;24;0.9000
кредитный портфель;денежное средство;10;16;0.9000
кредитный портфель;правоохранительный орган;10;21;0.9000
кредитный портфель;российское правительство;10;36;1.0000
кредитный портфель;уголовная ответственность;10;26;0.9000
кредитный портфель;настоящее время;10;14;0.8000
кредитный портфель;кредит;10;17;1.0000
кредитный портфель;коммерческий банк;10;12;0.8000
кредитный портфель;Национальное рейтинговое агентство;10;21;0.8000
кредитный портфель;иностранный банк;10;13;0.8000
кредитный портфель;генеральный директор;10;25;0.8000
кредитный портфель;украинское правительство;10;32;1.0000
кредитный портфель;информация Известий"";10;18;0.8000
кредитный портфель;аналитическое управление;10;34;1.0000
кредитный портфель;собственное средство;10;30;1.0000
кредитный портфель;правительство РФ;10;27;1.0000
кредитный портфель;национальная экономика;10;28;0.8000
кредитный портфель;финансовая помощь;10;16;0.8000
кредитный портфель;дополнительное средство;10;31;1.0000
кредитный портфель;Следственный комитет;10;29;0.9000
кредитный портфель;проект постановления;10;28;0.8000
кредитный портфель;кредитная организация;10;25;1.0000
кредитный портфель;министр финансов;10;19;0.8000
кредитный портфель;российский производитель;10;35;0.9000
кредитный портфель;потребительское кредитование;10;24;0.9000
кредитный портфель;правительство;10;32;1.0000
кредитный портфель;официальный представитель;10;37;1.0000
кредитный портфель;российское законодательство;10;34;1.0000
