concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;потребительский кредит;14;25;0.8571
банковский сектор;российское правительство;14;43;0.8571
банковский сектор;экономический рост;14;29;0.8571
банковский сектор;кредит;14;16;0.9286
банковский сектор;директор департамента;14;26;0.8571
банковский сектор;генеральный директор;14;33;0.8571
банковский сектор;экономическая политика;14;28;0.8571
банковский сектор;Банк России;14;23;0.8571
банковский сектор;банк России;14;23;0.8571
банковский сектор;аналитическое управление;14;41;1.0000
банковский сектор;национальная экономика;14;33;0.8571
банковский сектор;российский банк;14;31;0.8571
банковский сектор;российский производитель;14;42;0.8571
банковский сектор;потребительское кредитование;14;27;0.8571
банковский сектор;официальный представитель;14;41;1.0000
банковский сектор;совет директоров;14;34;0.8571
банковский сектор;исполнительный директор;14;37;0.8571
банковский сектор;российский бизнес;14;30;0.8571
настоящий момент;компания;11;39;0.9091
настоящий момент;российское правительство;11;43;0.9091
настоящий момент;российская компания;11;41;0.9091
настоящий момент;российский бюджет;11;28;0.8182
настоящий момент;аналитик компании;11;36;0.8182
настоящий момент;украинское правительство;11;36;0.9091
настоящий момент;Российская Федерация;11;31;0.8182
настоящий момент;российский производитель;11;42;0.9091
настоящий момент;правительство;11;40;0.9091
настоящий момент;официальный представитель;11;41;0.9091
настоящий момент;значительная часть;11;25;0.8182
настоящий момент;российское законодательство;11;37;0.8182
настоящий момент;страховая компания;11;30;0.8182
валютный контроль;компания;10;39;0.9000
валютный контроль;российское правительство;10;43;0.9000
валютный контроль;российская компания;10;41;0.9000
валютный контроль;управляющая компания;10;30;0.8000
валютный контроль;аналитик компании;10;36;0.9000
валютный контроль;собственное средство;10;31;0.8000
валютный контроль;иностранная компания;10;35;0.9000
валютный контроль;Следственный комитет;10;30;0.8000
валютный контроль;российский производитель;10;42;1.0000
валютный контроль;крупная компания;10;31;0.8000
валютный контроль;официальный представитель;10;41;0.8000
потребительский кредит;компания;25;39;0.8000
потребительский кредит;российское правительство;25;43;0.8800
потребительский кредит;потребительская цена;25;21;0.8000
потребительский кредит;аналитическое управление;25;41;0.8800
потребительский кредит;национальная экономика;25;33;0.8000
потребительский кредит;российский производитель;25;42;0.8800
потребительский кредит;потребительское кредитование;25;27;0.8800
потребительский кредит;правительство;25;40;0.8400
потребительский кредит;официальный представитель;25;41;0.9200
потребительский кредит;исполнительный директор;25;37;0.8000
потребительский кредит;потребительский спрос;25;23;0.8400
проблема;компания;17;39;0.8235
проблема;российское правительство;17;43;0.9412
проблема;российская компания;17;41;0.9412
проблема;директор Института;17;31;0.8235
проблема;правительство РФ;17;32;0.8235
проблема;национальная экономика;17;33;0.8235
проблема;проект постановления;17;38;0.8235
проблема;российский производитель;17;42;0.8824
проблема;правительство;17;40;0.8235
проблема;официальный представитель;17;41;0.8235
проблема;совет директоров;17;34;0.8235
проблема;российское законодательство;17;37;0.8824
проблема;исполнительный директор;17;37;0.8235
деньги;компания;10;39;0.8000
деньги;денежное средство;10;13;0.8000
деньги;российское правительство;10;43;0.9000
деньги;российская компания;10;41;1.0000
деньги;управляющая компания;10;30;0.8000
деньги;аналитик компании;10;36;0.8000
деньги;Банк России;10;23;0.8000
деньги;банк России;10;23;0.8000
деньги;аналитическое управление;10;41;0.8000
деньги;собственное средство;10;31;0.9000
деньги;иностранная компания;10;35;0.8000
деньги;дополнительное средство;10;34;1.0000
деньги;Следственный комитет;10;30;0.9000
деньги;проект постановления;10;38;0.8000
деньги;кредитная организация;10;22;0.8000
деньги;российский производитель;10;42;0.9000
деньги;крупная компания;10;31;0.8000
деньги;официальный представитель;10;41;0.9000
деньги;российское законодательство;10;37;0.9000
деньги;исполнительная власть;10;25;0.8000
деньги;исполнительный директор;10;37;0.9000
розничная цена;потребительский кредит;6;25;0.8333
розничная цена;розничный бизнес;6;12;1.0000
розничная цена;бизнес;6;17;0.8333
розничная цена;российское правительство;6;43;0.8333
розничная цена;уголовная ответственность;6;26;0.8333
розничная цена;экономическая ситуация;6;31;0.8333
розничная цена;начало года;6;22;1.0000
розничная цена;экономический рост;6;29;0.8333
розничная цена;кредит;6;16;0.8333
розничная цена;потребительская цена;6;21;0.8333
розничная цена;директор департамента;6;26;0.8333
розничная цена;генеральный директор;6;33;0.8333
розничная цена;негативное последствие;6;19;0.8333
розничная цена;Центральный банк;6;24;0.8333
розничная цена;аналитическое управление;6;41;1.0000
розничная цена;собственное средство;6;31;0.8333
розничная цена;национальная экономика;6;33;0.8333
розничная цена;клиент;6;14;0.8333
розничная цена;российский производитель;6;42;0.8333
розничная цена;потребительское кредитование;6;27;1.0000
розничная цена;правительство;6;40;0.8333
розничная цена;официальный представитель;6;41;1.0000
розничная цена;совет директоров;6;34;0.8333
розничная цена;банк;6;13;0.8333
розничная цена;исполнительный директор;6;37;0.8333
розничная цена;течение года;6;25;0.8333
розничная цена;потребительский спрос;6;23;0.8333
крупнейший банк;аналитическое управление;9;41;1.0000
крупнейший банк;национальная экономика;9;33;0.8889
крупнейший банк;официальный представитель;9;41;1.0000
средний бизнес;бизнес;14;17;1.0000
средний бизнес;российское правительство;14;43;0.9286
средний бизнес;аналитическое управление;14;41;0.8571
средний бизнес;дополнительное средство;14;34;0.9286
средний бизнес;российский банк;14;31;0.8571
средний бизнес;российский производитель;14;42;0.9286
средний бизнес;официальный представитель;14;41;0.9286
средний бизнес;российское законодательство;14;37;0.9286
средний бизнес;исполнительная власть;14;25;0.8571
средний бизнес;российский бизнес;14;30;1.0000
Федеральная антимонопольная служба;компания;8;39;0.8750
Федеральная антимонопольная служба;российское правительство;8;43;1.0000
Федеральная антимонопольная служба;генеральный директор;8;33;0.8750
Федеральная антимонопольная служба;Федеральная налоговая служба;8;15;1.0000
Федеральная антимонопольная служба;региональная власть;8;22;0.8750
Федеральная антимонопольная служба;директор Института;8;31;0.8750
Федеральная антимонопольная служба;аналитическое управление;8;41;0.8750
Федеральная антимонопольная служба;федеральный бюджет;8;21;1.0000
Федеральная антимонопольная служба;Российская Федерация;8;31;0.8750
Федеральная антимонопольная служба;дополнительное средство;8;34;0.8750
Федеральная антимонопольная служба;российский производитель;8;42;0.8750
Федеральная антимонопольная служба;потребительское кредитование;8;27;0.8750
Федеральная антимонопольная служба;федеральный закон;8;23;1.0000
Федеральная антимонопольная служба;правительство;8;40;0.8750
Федеральная антимонопольная служба;официальный представитель;8;41;0.8750
Федеральная антимонопольная служба;совет директоров;8;34;0.8750
Федеральная антимонопольная служба;федеральная целевая программа;8;17;0.8750
Федеральная антимонопольная служба;Совет Федерации;8;17;0.8750
Федеральная антимонопольная служба;исполнительный директор;8;37;0.8750
компания;российское правительство;39;43;0.9231
компания;российская компания;39;41;0.9231
компания;аналитик компании;39;36;0.9231
компания;аналитическое управление;39;41;0.8718
компания;иностранная компания;39;35;0.8718
компания;российский производитель;39;42;0.8974
компания;правительство;39;40;0.8205
компания;официальный представитель;39;41;0.8462
российский рубль;российская сторона;29;28;0.9310
российский рубль;российский газ;29;29;1.0000
российский рубль;российская валюта;29;24;0.8276
российский рубль;российское правительство;29;43;1.0000
российский рубль;российская компания;29;41;0.9310
российский рубль;российский рынок;29;29;1.0000
российский рубль;российский бюджет;29;28;0.9310
российский рубль;российская экономика;29;26;0.8621
российский рубль;украинское правительство;29;36;0.8276
российский рубль;аналитическое управление;29;41;0.8621
российский рубль;российская власть;29;30;0.9655
российский рубль;Российская Федерация;29;31;0.9310
российский рубль;российский банк;29;31;1.0000
российский рубль;российский производитель;29;42;1.0000
российский рубль;правительство;29;40;0.8621
российский рубль;официальный представитель;29;41;0.8966
российский рубль;российское законодательство;29;37;0.9310
российский рубль;исполнительный директор;29;37;0.8621
российский рубль;российский бизнес;29;30;0.9310
данный вопрос;компания;9;39;1.0000
данный вопрос;российское правительство;9;43;1.0000
данный вопрос;аналитик компании;9;36;1.0000
данный вопрос;украинское правительство;9;36;0.8889
данный вопрос;аналитическое управление;9;41;1.0000
данный вопрос;проект постановления;9;38;1.0000
данный вопрос;российский производитель;9;42;0.8889
данный вопрос;правительство;9;40;0.8889
данный вопрос;официальный представитель;9;41;1.0000
денежно-кредитная политика;потребительский кредит;8;25;1.0000
денежно-кредитная политика;российское правительство;8;43;0.8750
денежно-кредитная политика;начало года;8;22;0.8750
денежно-кредитная политика;просроченная задолженность;8;11;0.8750
денежно-кредитная политика;кредит;8;16;0.8750
денежно-кредитная политика;директор департамента;8;26;0.8750
денежно-кредитная политика;генеральный директор;8;33;0.8750
денежно-кредитная политика;Центральный банк;8;24;0.8750
денежно-кредитная политика;аналитическое управление;8;41;1.0000
денежно-кредитная политика;национальная экономика;8;33;0.8750
денежно-кредитная политика;Следственный комитет;8;30;0.8750
денежно-кредитная политика;проект постановления;8;38;0.8750
денежно-кредитная политика;кредитная организация;8;22;0.8750
