concept1;concept2;size of concept1;size of concept2;confidence
банковский сектор;российское правительство;9;37;1.0000
банковский сектор;пояснительная записка;9;21;0.8889
банковский сектор;уголовная ответственность;9;31;1.0000
банковский сектор;генеральный директор;9;29;0.8889
банковский сектор;аналитическое управление;9;31;1.0000
банковский сектор;собственное средство;9;33;1.0000
банковский сектор;дополнительное средство;9;33;0.8889
банковский сектор;проект постановления;9;29;1.0000
банковский сектор;российский производитель;9;36;1.0000
банковский сектор;федеральный закон;9;24;0.8889
банковский сектор;совет директоров;9;29;0.8889
банковский сектор;исполнительный директор;9;35;0.8889
настоящий момент;российское правительство;8;37;0.8750
настоящий момент;пояснительная записка;8;21;0.8750
настоящий момент;интеллектуальная собственность;8;25;0.8750
настоящий момент;собственное средство;8;33;1.0000
настоящий момент;дополнительное средство;8;33;1.0000
настоящий момент;российский производитель;8;36;0.8750
настоящий момент;правительство;8;35;0.8750
настоящий момент;официальный представитель;8;36;0.8750
настоящий момент;исполнительный директор;8;35;0.8750
потребительский кредит;российское правительство;14;37;0.9286
потребительский кредит;российская компания;14;34;0.8571
потребительский кредит;уголовная ответственность;14;31;0.8571
потребительский кредит;потребительская цена;14;15;0.8571
потребительский кредит;аналитическое управление;14;31;0.9286
потребительский кредит;собственное средство;14;33;0.8571
потребительский кредит;дополнительное средство;14;33;0.8571
потребительский кредит;российский производитель;14;36;0.9286
потребительский кредит;потребительское кредитование;14;15;1.0000
потребительский кредит;правительство;14;35;0.8571
потребительский кредит;официальный представитель;14;36;0.8571
потребительский кредит;российское законодательство;14;34;0.8571
потребительский кредит;потребительский спрос;14;18;0.9286
проблема;российская компания;13;34;0.8462
проблема;уголовная ответственность;13;31;0.8462
проблема;аналитическое управление;13;31;0.8462
проблема;проект постановления;13;29;0.8462
проблема;российский производитель;13;36;0.8462
проблема;правительство;13;35;0.8462
проблема;официальный представитель;13;36;0.8462
деньги;компания;9;32;0.8889
деньги;российское правительство;9;37;0.8889
деньги;российская компания;9;34;0.8889
деньги;пояснительная записка;9;21;0.8889
деньги;собственное средство;9;33;0.8889
деньги;Российская Федерация;9;28;0.8889
деньги;российский банк;9;26;0.8889
деньги;российский производитель;9;36;1.0000
деньги;российское законодательство;9;34;0.8889
деньги;исполнительный директор;9;35;0.8889
розничная цена;компания;7;32;0.8571
розничная цена;консалтинговая компания;7;19;0.8571
розничная цена;российская компания;7;34;0.8571
розничная цена;уголовная ответственность;7;31;0.8571
розничная цена;управляющая компания;7;29;0.8571
розничная цена;аналитик компании;7;23;0.8571
розничная цена;эксперт;7;27;0.8571
розничная цена;генеральный директор;7;29;0.8571
розничная цена;директор Института;7;28;0.8571
розничная цена;собственное средство;7;33;1.0000
розничная цена;национальная экономика;7;22;0.8571
розничная цена;Следственный комитет;7;26;0.8571
розничная цена;проект постановления;7;29;0.8571
розничная цена;крупная компания;7;24;0.8571
розничная цена;совет директоров;7;29;0.8571
розничная цена;исполнительный директор;7;35;0.8571
крупнейший банк;компания;9;32;0.8889
крупнейший банк;строительство;9;33;0.8889
крупнейший банк;российское правительство;9;37;0.8889
крупнейший банк;управляющая компания;9;29;0.8889
крупнейший банк;интеллектуальная собственность;9;25;0.8889
крупнейший банк;генеральный директор;9;29;0.8889
крупнейший банк;собственное средство;9;33;1.0000
крупнейший банк;дополнительное средство;9;33;0.8889
крупнейший банк;Следственный комитет;9;26;1.0000
крупнейший банк;проект постановления;9;29;1.0000
крупнейший банк;крупная компания;9;24;0.8889
крупнейший банк;правительство;9;35;0.8889
крупнейший банк;официальный представитель;9;36;1.0000
крупнейший банк;совет директоров;9;29;0.8889
крупнейший банк;исполнительный директор;9;35;1.0000
средний бизнес;розничный бизнес;6;10;0.8333
средний бизнес;бизнес;6;17;1.0000
средний бизнес;российское правительство;6;37;0.8333
средний бизнес;российская компания;6;34;0.8333
средний бизнес;Национальное рейтинговое агентство;6;18;0.8333
средний бизнес;директор Института;6;28;0.8333
средний бизнес;национальная экономика;6;22;0.8333
средний бизнес;российское законодательство;6;34;0.8333
Федеральная антимонопольная служба;строительство;12;33;0.8333
Федеральная антимонопольная служба;российское правительство;12;37;0.9167
Федеральная антимонопольная служба;российская компания;12;34;0.8333
Федеральная антимонопольная служба;уголовная ответственность;12;31;0.9167
Федеральная антимонопольная служба;эксперт;12;27;0.8333
Федеральная антимонопольная служба;генеральный директор;12;29;0.8333
Федеральная антимонопольная служба;Федеральная налоговая служба;12;17;1.0000
Федеральная антимонопольная служба;аналитическое управление;12;31;1.0000
Федеральная антимонопольная служба;федеральный бюджет;12;19;1.0000
Федеральная антимонопольная служба;правительство РФ;12;33;0.8333
Федеральная антимонопольная служба;дополнительное средство;12;33;0.8333
Федеральная антимонопольная служба;проект постановления;12;29;1.0000
Федеральная антимонопольная служба;российский производитель;12;36;1.0000
Федеральная антимонопольная служба;федеральный закон;12;24;1.0000
Федеральная антимонопольная служба;правительство;12;35;1.0000
Федеральная антимонопольная служба;официальный представитель;12;36;1.0000
Федеральная антимонопольная служба;совет директоров;12;29;0.8333
Федеральная антимонопольная служба;федеральная целевая программа;12;18;0.9167
Федеральная антимонопольная служба;Совет Федерации;12;16;0.8333
Федеральная антимонопольная служба;исполнительный директор;12;35;0.9167
компания;строительство;32;33;0.8438
компания;российское правительство;32;37;0.8750
компания;российская компания;32;34;0.9375
компания;управляющая компания;32;29;0.9062
компания;собственное средство;32;33;0.8438
компания;правительство РФ;32;33;0.8125
компания;иностранная компания;32;28;0.8438
компания;дополнительное средство;32;33;0.8125
компания;российский производитель;32;36;0.8438
компания;правительство;32;35;0.8438
компания;официальный представитель;32;36;0.8750
компания;российское законодательство;32;34;0.8750
компания;исполнительный директор;32;35;0.8438
кредитный портфель;российский рубль;6;24;0.8333
кредитный портфель;российский газ;6;25;0.8333
кредитный портфель;российская валюта;6;24;0.8333
кредитный портфель;российское правительство;6;37;1.0000
кредитный портфель;национальная валюта;6;17;0.8333
кредитный портфель;результат;6;14;1.0000
кредитный портфель;уголовная ответственность;6;31;1.0000
кредитный портфель;экономическая ситуация;6;20;0.8333
кредитный портфель;российский рынок;6;26;0.8333
кредитный портфель;российский бюджет;6;25;0.8333
кредитный портфель;интеллектуальная собственность;6;25;0.8333
кредитный портфель;эксперт;6;27;0.8333
кредитный портфель;кредит;6;10;0.8333
кредитный портфель;директор департамента;6;21;0.8333
кредитный портфель;генеральный директор;6;29;0.8333
кредитный портфель;директор Института;6;28;0.8333
кредитный портфель;Центральный банк;6;16;0.8333
кредитный портфель;аналитическое управление;6;31;0.8333
кредитный портфель;собственное средство;6;33;1.0000
кредитный портфель;национальная экономика;6;22;0.8333
кредитный портфель;Российская Федерация;6;28;0.8333
кредитный портфель;дополнительное средство;6;33;1.0000
кредитный портфель;Следственный комитет;6;26;0.8333
кредитный портфель;проект постановления;6;29;1.0000
кредитный портфель;российский банк;6;26;0.8333
кредитный портфель;российский производитель;6;36;0.8333
кредитный портфель;официальный представитель;6;36;0.8333
